,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Ceska Kamenice,CZ,50.8,40.41,86,75,6.93
1,Fairbanks,US,64.84,39.79,86,90,6.93
2,Pangnirtung,CA,66.15,8.6,71,40,7.96
3,Tremedal,BR,-14.98,71.6,88,75,5.73
4,Airai,TL,-8.93,69.06,91,76,1.7
5,Kaitangata,NZ,-46.28,58.17,77,92,17.47
6,Lorengau,PG,-2.02,82.83,97,76,8.63
7,Busselton,AU,-33.64,55.47,45,0,14.67
8,Shalinskoye,RU,55.72,12.18,71,24,3.6
9,Rikitea,PF,-23.12,80.49,97,12,13.44
10,Andreapol,RU,56.65,20.91,73,0,9.19
11,Saint-Pierre,FR,48.95,39.2,75,20,6.93
12,Souillac,FR,45.6,48.6,38,0,4.7
13,Dingle,PH,11.0,75.36,91,44,8.75
14,Atuona,PF,-9.8,82.02,100,44,13.11
15,Ushuaia,AR,-54.81,53.6,62,75,6.93
16,Hobart,AU,-42.88,42.94,70,0,8.05
17,Yendi,GH,9.45,89.67,48,20,5.84
18,Kloulklubed,PW,7.04,78.8,88,90,6.93
19,Hasaki,JP,35.73,43.29,39,20,5.82
20,Agucadoura,PT,41.43,65.57,32,0,6.93
21,Butaritari,KI,3.07,83.37,100,48,16.24
22,Yellowknife,CA,62.45,29.52,68,75,17.22
23,Boysun,UZ,38.2,35.76,100,88,1.48
24,Vaini,IN,15.34,70.59,93,20,1.7
25,Pitimbu,BR,-7.47,75.2,94,75,6.93
26,Saskylakh,RU,71.97,11.46,69,76,3.94
27,Saint George,GR,39.45,52.65,87,75,2.71
28,Oxilithos,GR,38.58,52.93,87,40,2.24
29,East London,ZA,-33.02,68.79,100,92,3.38
30,Port Alfred,ZA,-33.59,66.72,87,56,7.29
31,Sitka,US,37.17,64.99,53,0,15.01
32,Kruisfontein,ZA,-34.0,58.71,86,36,6.62
33,New Norfolk,AU,-42.78,42.96,70,0,8.05
34,Lebowakgomo,ZA,-24.3,64.65,87,75,12.75
35,Tiksi,RU,71.64,-20.32,29,0,2.82
36,Dunedin,NZ,-45.87,57.99,96,0,10.65
37,Kapaa,US,22.08,70.54,88,90,3.36
38,Mataura,NZ,-46.19,53.01,91,44,14.0
39,Lavrentiya,RU,65.58,32.25,95,68,31.12
40,Gunjur,GM,13.18,69.8,73,0,12.75
41,Erenhot,CN,43.65,27.93,56,76,12.66
42,Nikolskoye,RU,59.7,28.62,86,75,8.95
43,Bathsheba,BB,13.22,82.4,61,20,21.92
44,Ulaangom,MN,49.98,-8.17,51,0,2.59
45,Yumen,CN,40.29,39.09,61,68,14.79
46,Seoul,KR,37.57,45.64,80,90,3.36
47,Carnarvon,ZA,-30.97,59.79,35,88,9.64
